list_no: 1, list_size: 6830
list_no: 2, list_size: 6173
list_no: 3, list_size: 10620
list_no: 4, list_size: 15479
list_no: 5, list_size: 8045
list_no: 6, list_size: 7519
list_no: 7, list_size: 8271
list_no: 8, list_size: 11855
list_no: 9, list_size: 10943
list_no: 10, list_size: 9509
list_no: 11, list_size: 10157
list_no: 12, list_size: 10778
list_no: 13, list_size: 6244
list_no: 14, list_size: 10947
list_no: 15, list_size: 8166
list_no: 16, list_size: 4992
list_no: 17, list_size: 8810
list_no: 18, list_size: 8633
list_no: 19, list_size: 6080
list_no: 20, list_size: 7442
list_no: 21, list_size: 12693
list_no: 22, list_size: 5947
list_no: 23, list_size: 8143
list_no: 24, list_size: 7674
list_no: 25, list_size: 7436
list_no: 26, list_size: 8163
list_no: 27, list_size: 7559
list_no: 28, list_size: 9273
list_no: 29, list_size: 8244
list_no: 30, list_size: 6333
list_no: 31, list_size: 13205
list_no: 32, list_size: 8046
list_no: 33, list_size: 8995
list_no: 34, list_size: 12546
list_no: 35, list_size: 7156
list_no: 36, list_size: 17318
list_no: 37, list_size: 11173
list_no: 38, list_size: 11312
list_no: 39, list_size: 10024
list_no: 40, list_size: 14497
list_no: 41, list_size: 18541
list_no: 42, list_size: 11636
list_no: 43, list_size: 8111
list_no: 44, list_size: 13303
list_no: 45, list_size: 18252
list_no: 46, list_size: 10194
list_no: 47, list_size: 7509
list_no: 48, list_size: 11566
list_no: 49, list_size: 7008
list_no: 50, list_size: 12842
list_no: 51, list_size: 6220
list_no: 52, list_size: 7951
list_no: 53, list_size: 11175
list_no: 54, list_size: 8627
list_no: 55, list_size: 8420
list_no: 56, list_size: 10092
list_no: 57, list_size: 14705
list_no: 58, list_size: 19097
list_no: 59, list_size: 17297
list_no: 60, list_size: 7039
list_no: 61, list_size: 6622
list_no: 62, list_size: 11342
list_no: 63, list_size: 9120
list_no: 64, list_size: 6594
list_no: 65, list_size: 7504
list_no: 66, list_size: 12214
list_no: 67, list_size: 9308
list_no: 68, list_size: 8696
list_no: 69, list_size: 14217
list_no: 70, list_size: 12253
list_no: 71, list_size: 8868
list_no: 72, list_size: 6298
list_no: 73, list_size: 8303
list_no: 74, list_size: 8978
list_no: 75, list_size: 15749
list_no: 76, list_size: 8446
list_no: 77, list_size: 12608
list_no: 78, list_size: 6807
list_no: 79, list_size: 10300
list_no: 80, list_size: 9455
list_no: 81, list_size: 16447
list_no: 82, list_size: 8337
list_no: 83, list_size: 10152
list_no: 84, list_size: 13821
list_no: 85, list_size: 10785
list_no: 86, list_size: 12234
list_no: 87, list_size: 8135
list_no: 88, list_size: 7262
list_no: 89, list_size: 11575
list_no: 90, list_size: 11481
list_no: 91, list_size: 13561
list_no: 92, list_size: 6993
list_no: 93, list_size: 9797
list_no: 94, list_size: 5190
list_no: 95, list_size: 11839
list_no: 96, list_size: 7755
list_no: 97, list_size: 3814
list_no: 98, list_size: 13769
list_no: 99, list_size: 10554
list_no: 100, list_size: 4536
