1479	190
1480	155
1481	178
1482	374
1483	3
1484	257
1485	516
1486	466
1487	369
1488	421
1489	210
1490	391
1491	436
1492	438
1493	560
1494	464
1495	614
1496	503
1497	348
1498	653
1499	420
1500	442
1501	47
1502	271
1503	318
1504	205
1505	323
1506	383
1507	47
1508	276
1509	448
1510	137
1511	463
1512	477
1513	410
1514	25
1515	341
1516	1193
1517	916
1518	361
1519	166
1520	259
1521	446
1522	527
1523	433
1524	234
1525	515
1526	435
1527	672
1528	622
1529	513
1530	291
1531	666
1532	276
1533	60
1534	416
1535	231
1536	566
1537	199
1538	281
1539	550
1540	430
1541	295
1542	523
1543	315
1544	240
1545	337
1546	145
1547	394
1548	422
1549	238
1550	122
1551	343
1552	92
1553	524
1554	77
1555	438
1556	465
1557	335
1558	454
1559	232
1560	315
1561	641
1562	896
1563	638
1564	349
1565	557
1566	291
1567	427
1568	550
1569	387
1570	191
1571	304
1572	376
1573	830
1574	332
1575	401
1576	386
1577	241
1578	179
1579	376
1580	197
1581	750
1582	395
1583	359
1584	949
1585	1096
1586	517
1587	467
1588	272
1589	257
1590	123
1591	484
1592	62
1593	416
1594	393
1595	420
1596	400
1597	427
1598	3
1599	530
1600	610
1601	367
1602	304
1603	236
1604	602
1605	882
1606	407
1607	292
1608	448
1609	553
1610	54
1611	548
1612	138
1613	318
1614	441
1615	356
1616	61
1617	279
1618	288
1619	88
1620	382
1621	293
1622	600
1623	362
1624	444
1625	393
1626	482
1627	516
1628	343
1629	504
1630	324
1631	424
1632	354
1633	319
1634	445
1635	60
1636	478
1637	284
1638	508
1639	692
1640	432
1641	207
1642	332
1643	353
1644	710
1645	417
1646	293
1647	337
1648	577
1649	560
1650	13
1651	283
1652	299
1653	575
1654	472
1655	444
1656	730
1657	413
1658	386
1659	394
1660	313
1661	143
1662	288
1663	487
1664	387
1665	760
1666	923
1667	332
1668	200
1669	318
1670	333
1671	555
1672	206
1673	372
1674	420
1675	153
1676	420
1677	217
1678	292
1679	330
1680	483
1681	484
1682	438
1683	465
1684	244
1685	660
1686	1236
1687	1177
1688	347
1689	230
1690	304
1691	206
1692	406
1693	263
1694	169
1695	650
1696	377
1697	674
1698	165
1699	315
1700	234
1701	353
1702	426
1703	125
1704	413
1705	624
1706	380
1707	506
1708	331
1709	164
1710	27
1711	287
1712	243
1713	481
1714	46
1715	432
1716	614
1717	377
1718	632
1719	337
1720	627
1721	246
1722	387
1723	443
1724	388
1725	265
1726	148
1727	25
1728	628
1729	1224
1730	203
1731	408
1732	279
1733	240
1734	424
1735	390
1736	453
1737	434
1738	377
1739	217
1740	147
1741	307
1742	163
1743	325
1744	228
1745	313
1746	135
1747	331
1748	393
1749	468
1750	323
1751	10
1752	498
1753	173
1754	462
1755	511
1756	669
1757	512
1758	374
1759	471
1760	432
1761	134
1762	204
1763	527
1764	219
1765	572
1766	306
1767	229
1768	441
1769	416
1770	247
1771	579
1772	58
1773	208
1774	471
1775	371
1776	229
1777	802
1778	365
1779	526
1780	533
1781	808
1782	126
1783	646
1784	267
1785	86
1786	593
1787	1008
1788	247
1789	251
1790	450
1791	156
1792	1168
1793	952
1794	476
1795	558
1796	420
1797	968
1798	68
1799	518
1800	289
1801	17
1802	451
1803	340
1804	501
1805	338
1806	376
1807	131
1808	465
1809	355
1810	375
1811	281
1812	305
1813	319
1814	237
1815	242
1816	267
1817	298
1818	235
1819	399
1820	317
1821	229
1822	415
1823	308
1824	264
1825	178
1826	406
1827	393
1828	353
1829	458
1830	547
1831	564
1832	288
1833	229
1834	333
1835	768
1836	448
1837	415
1838	534
1839	395
1840	201
1841	610
1842	360
1843	492
1844	378
1845	73
1846	306
1847	186
1848	317
1849	356
1850	291
1851	265
1852	263
1853	748
1854	199
1855	461
1856	412
1857	241
1858	288
1859	494
1860	319
1861	615
1862	359
1863	752
1864	396
1865	225
1866	840
1867	286
1868	304
1869	344
1870	25
1871	237
1872	310
1873	532
1874	28
1875	320
1876	399
1877	526
1878	461
1879	311
1880	458
1881	413
1882	407
1883	413
1884	588
1885	520
1886	349
1887	222
1888	572
1889	545
1890	707
1891	492
1892	271
1893	144
1894	306
1895	382
1896	163
1897	579
1898	225
1899	117
1900	857
1901	300
1902	465
1903	137
1904	493
1905	338
1906	296
1907	663
1908	452
1909	343
1910	37
1911	774
1912	838
1913	461
1914	437
1915	703
1916	443
1917	569
1918	549
1919	476
1920	317
1921	343
1922	550
1923	477
1924	311
1925	318
1926	483
1927	271
1928	807
1929	126
1930	624
1931	427
1932	248
1933	312
1934	287
1935	278
1936	322
1937	202
1938	160
1939	415
1940	272
1941	235
1942	355
1943	484
1944	378
1945	401
1946	351
1947	243
1948	916
1949	228
1950	416
1951	373
1952	102
1953	487
1954	392
1955	317
1956	329
1957	382
1958	402
1959	202
1960	204
1961	614
1962	214
1963	568
1964	523
1965	303
1966	244
1967	332
1968	166
1969	733
