2268	331
2269	337
2270	356
2271	547
2272	514
2273	477
2274	571
2275	236
2276	393
2277	659
2278	139
2279	496
2280	409
2281	224
2282	421
2283	158
2284	547
2285	470
2286	199
2287	366
2288	521
2289	585
2290	445
2291	149
2292	608
2293	292
2294	409
2295	422
2296	67
2297	422
2298	108
2299	294
2300	279
2301	909
2302	246
2303	844
2304	462
2305	128
2306	508
2307	480
2308	864
2309	409
2310	783
2311	448
2312	662
2313	649
2314	123
2315	243
2316	499
2317	249
2318	417
2319	185
2320	599
2321	742
2322	345
2323	893
2324	353
2325	478
2326	294
2327	381
2328	229
2329	450
2330	461
2331	362
2332	451
2333	523
2334	645
2335	315
2336	463
2337	522
2338	277
2339	414
2340	589
2341	450
2342	391
2343	212
2344	403
2345	388
2346	354
2347	362
2348	620
2349	452
2350	439
2351	379
2352	33
2353	354
2354	916
2355	298
2356	106
2357	1642
2358	753
2359	187
2360	179
2361	105
2362	48
2363	392
2364	451
2365	569
2366	268
2367	560
2368	467
2369	436
2370	317
2371	255
2372	767
2373	368
2374	536
2375	119
2376	246
2377	493
2378	267
2379	223
2380	527
2381	10
2382	291
2383	273
2384	244
2385	578
2386	158
2387	738
2388	618
2389	386
2390	465
2391	524
2392	614
2393	415
2394	163
2395	609
2396	451
2397	389
2398	510
2399	467
2400	37
2401	922
2402	352
2403	221
2404	534
2405	227
2406	12
2407	359
2408	161
2409	514
2410	468
2411	194
2412	380
2413	415
2414	241
2415	849
2416	95
2417	211
2418	716
2419	202
2420	512
2421	324
2422	576
2423	238
2424	201
2425	330
2426	315
2427	243
2428	805
2429	475
2430	35
2431	300
2432	100
2433	326
2434	477
2435	49
2436	194
2437	185
2438	416
2439	386
2440	374
2441	243
2442	1055
2443	206
2444	253
2445	508
2446	1180
2447	288
2448	487
2449	623
2450	732
2451	251
2452	248
2453	363
2454	407
2455	23
2456	327
2457	475
2458	633
2459	558
2460	465
2461	378
2462	504
2463	346
2464	624
2465	542
2466	455
2467	396
2468	400
2469	176
2470	339
2471	144
2472	345
2473	360
2474	439
2475	328
2476	375
2477	386
2478	325
2479	803
2480	365
2481	280
2482	260
2483	216
2484	568
2485	271
2486	333
2487	759
2488	346
2489	589
2490	61
2491	225
2492	484
2493	259
2494	301
2495	109
2496	381
2497	604
2498	572
2499	241
2500	135
